regions,vehicle,package_id, package_code, start, end
Ha nội,NADE0050,11,TP2_490,1/11/2023,9/30/2023
Ha nội,NADE0052,11,TP2_490,2/2/2023,9/30/2023
Ha nội,NADE0074,4,TP3_450,4/12/2023,9/30/2023
Ha nội,NADE0087,4,TP3_450,5/23/2023,9/30/2023
Ha nội,NADE0085,3,TP1_180,6/8/2023,9/30/2023
Ha nội,NADE0056,4,TP3_450,6/21/2023,9/30/2023
Ha nội,NADE0051,4,TP3_450,6/21/2023,9/30/2023
Ha nội,PADE0028,4,TP3_450,6/21/2023,9/30/2023
Ha nội,PADE0029,5,TP2_340,6/20/2023,9/30/2023
Ha nội,PADE0030,4,TP3_450,6/29/2023,9/30/2023
Ha nội,PADE0026,5,TP2_340,6/21/2023,9/30/2023
Ha nội,PADE0020,4,TP3_450,8/1/2023,9/30/2023
Huế,NADE0024,9,TP3_HUE,4/22/2023,9/30/2023
Huế,NADE0082,2,G20_HUE,4/22/2023,9/30/2023
Huế,NADE0049,9,TP3_HUE,4/22/2023,9/30/2023
Huế,NADE0053,14,TP2_HUE,4/22/2023,9/30/2023
Huế,NADE0055,14,TP2_HUE,4/22/2023,9/30/2023
Huế,NADE0071,14,TP2_HUE,4/22/2023,9/30/2023
Huế,NADE0079,14,TP2_HUE,4/22/2023,9/30/2023
Huế,NADE0080,14,TP2_HUE,4/22/2023,9/30/2023
Huế,NADE0081,14,TP2_HUE,4/22/2023,9/30/2023
HCM,NADE0060,11,TP2_490,3/18/2023,9/30/2023
HCM,NADE0061,11,TP2_490,3/18/2023,9/30/2023
HCM,NADE0065,11,TP2_490,3/18/2023,9/30/2023
HCM,NADE0063,11,TP2_490,3/18/2023,9/30/2023
HCM,NADE0067,11,TP2_490,3/18/2023,9/30/2023
HCM,NADE0066,11,TP2_490,3/18/2023,9/30/2023
HCM,NADE0059,11,TP2_490,3/18/2023,9/30/2023
HCM,NADE0058,11,TP2_490,3/18/2023,9/30/2023
HCM,NADE0054,11,TP2_490,3/18/2023,9/30/2023
HCM,NADE0062,11,TP2_490,3/18/2023,9/30/2023
HCM,NADE0012,10,G30_960,4/1/2023,9/30/2023
HCM,NADE0013,10,G30_960,4/1/2023,9/30/2023
HCM,NADE0014,10,G30_960,4/1/2023,9/30/2023
HCM,NADE0015,10,G30_960,4/1/2023,9/30/2023
HCM,NADE0016,10,G30_960,4/1/2023,9/30/2023
HCM,NADE0017,10,G30_960,4/1/2023,9/30/2023
HCM,NADE0018,10,G30_960,4/1/2023,9/30/2023
HCM,NADE0019,10,G30_960,4/1/2023,9/30/2023
HCM,NADE0020,10,G30_960,4/1/2023,9/30/2023
HCM,NADE0021,10,G30_960,4/1/2023,9/30/2023
HCM,NADE0073,17,G30_1100,4/27/2023,9/30/2023
HCM,NADE0069,8,TP3_650,4/5/2023,9/15/2023
HCM,NADE0069,15,TP3_300,9/15/2023,9/30/2023
HCM,NADE0083,11,TP2_490,3/30/2023,9/30/2023
HCM,NADE0064,3,TP1_180,6/9/2023,9/30/2023
HCM,NADE0075,4,TP3_450,6/16/2023,9/30/2023
HCM,NADE0088,16,G30_C_850,9/1/2023,9/30/2023
HCM,NADE0086,16,G30_C_850,9/1/2023,9/30/2023
HCM,NADE0013,16,G30_C_850,9/1/2023,9/30/2023
HCM,NADE0068,16,G30_C_850,9/1/2023,9/30/2023
HCM,NADE0057,16,G30_C_850,9/1/2023,9/30/2023
HCM,NADE0043,4,TP3_450,7/12/2023,9/30/2023
HCM,NADE0034,4,TP3_450,7/12/2023,9/30/2023
HCM,NADE0002,4,TP3_450,7/12/2023,9/30/2023
HCM,NADE0048,4,TP3_450,7/12/2023,9/30/2023
HCM,NADE0027,4,TP3_450,7/12/2023,9/30/2023
HCM,NADE0042,4,TP3_450,7/14/2023,9/30/2023
HCM,NADE0047,12,G45_1475,7/13/2023,9/30/2023
HCM,NADE0023,16,G30_C_850,7/17/2023,9/30/2023
HCM,NADE0021,6,G30_1700,7/20/2023,9/30/2023
HCM,NADE0077,6,G30_1700,7/20/2023,9/30/2023
HCM,NADE0031,4,TP3_450,7/25/2023,9/30/2023
HCM,NADE0039,4,TP3_450,7/29/2023,9/30/2023
HCM,NADE0025,7,G20_650,7/31/2023,9/30/2023
HCM,NADE0021,4,TP3_450,7/24/2023,9/30/2023
HCM,NADE0077,4,TP3_450,7/24/2023,9/30/2023
HCM,NADE0032,18,G30_1600,8/15/2023,9/30/2023
HCM,PADE0050,5,TP2_340,8/11/2023,9/30/2023
HCM,PADE0033,12,G45_1475,8/21/2023,9/30/2023
HCM,NADE0017,13,G20_1150,8/21/2023,9/30/2023
HCM,NADE0016,4,TP3_450,8/22/2023,8/31/2023
HCM,NADE0016,13,G20_1150,9/1/2023,9/30/2023
HCM,NADE0019,4,TP3_450,8/26/2023,9/30/2023
